age,sex,race,sexori,relig_attend,equal_mar,poli,lgbt_close,lgbt_feel
36,2,1,NA,7,5,1,6,85
40,1,1,1,0,5,3,4,92.5
58,1,1,1,0,NA,1,6,92.5
78,2,1,3,7,4,4,0,50
50,1,1,NA,2,4,4,4.5,55
54,2,1,3,0,5,4,0,97.5
48,1,1,3,0,NA,4,7.5,50
29,2,1,3,5,5,2,1.5,100
71,1,1,3,0,NA,5,2.5,72.5
62,2,2,3,7,2,4,1.5,85
60,1,1,3,0,NA,4,0,50
60,2,1,3,2,4,4,0,60
53,2,1,NA,0,5,6,0,50
47,1,1,3,0,5,5,1.5,60
34,2,1,3,5,NA,4,1.5,70
27,2,2,3,8,NA,5,0,35
29,2,2,3,3,NA,2,0,50
74,2,1,3,0,1,1,0,50
30,2,2,NA,3,NA,3,1.5,100
38,1,1,2,1,5,2,3.5,90
49,2,1,3,7,NA,6,0.5,40
44,1,3,NA,2,4,5,0,30
66,2,1,3,1,5,3,0,70
59,2,3,3,2,NA,1,4,100
44,1,1,NA,7,4,3,0.5,60
37,1,1,3,1,NA,4,1.5,65
48,1,1,NA,7,2,6,2.5,50
25,1,2,3,7,4,6,0,0
44,2,1,NA,5,5,5,4.5,100
49,2,2,NA,8,1,6,0,67.5
61,2,1,NA,7,1,6,2,50
57,2,1,NA,2,5,4,1.5,85
33,2,3,NA,0,5,5,0,90
50,1,2,3,0,NA,4,0,50
68,2,1,3,2,5,6,3,92.5
37,1,2,3,0,4,3,0,85
44,2,1,3,0,5,3,3,50
54,2,2,NA,7,2,4,0,65
52,1,2,3,0,3,NA,0,60
73,2,1,NA,3,1,4,0,50
43,1,3,3,7,NA,5,0,70
35,2,3,3,3,5,2,4,67.5
31,2,1,1,0,NA,2,1.5,72.5
25,1,1,3,0,5,4,0.5,67.5
44,1,1,1,2,5,3,2,92.5
67,1,1,NA,1,4,6,2,50
45,2,1,NA,2,4,4,1.5,50
63,2,1,NA,1,5,3,0.5,72.5
36,1,1,3,7,NA,5,0,67.5
35,2,1,3,3,4,4,0,100
51,1,1,3,5,3,5,4.5,55
40,1,2,3,6,NA,5,0,0
45,1,1,NA,7,4,6,0.5,55
36,2,3,3,0,5,4,2,40
