poli,relig_attend,lgbt_feel,equal_mar,lgbt_close,age,sex,race,sexori,me1,me2,fvr1,fvr2
3,0,92.5,5,4,40,1,1,1,4.8660000000000005,4.714,84.315,79.75
4,7,50,4,0,78,2,1,3,2.952000000000001,2.82,67.02799999999999,57.168000000000006
4,0,97.5,5,0,54,2,1,3,4.532000000000001,4.561,71.126,59.33
2,5,100,5,1.5,29,2,1,3,4.68,4.766500000000001,90.19399999999999,88.10900000000001
4,7,85,2,1.5,62,2,2,3,3.099000000000001,3.2104999999999997,62.92600000000001,60.48899999999999
4,2,60,4,0,60,2,1,3,4.095999999999999,4.079000000000001,70.13,58.96600000000001
5,0,60,5,1.5,47,1,1,3,4.1000000000000005,4.153999999999999,55.097,50.22299999999999
1,0,50,1,0,74,2,1,3,4.949,5.167000000000001,87.143,77.78500000000001
2,1,90,5,3.5,38,1,1,2,4.936000000000001,4.833499999999999,84.34000000000002,79.532
3,1,70,5,0,66,2,1,3,4.4110000000000005,4.48,75.49099999999999,64.60900000000001
6,7,0,4,0,25,1,2,3,2.948,2.72,46.318000000000005,40.26299999999999
6,2,92.5,5,3,68,2,1,3,3.4339999999999993,3.6780000000000013,55.1,57.47800000000001
3,0,85,4,0,37,1,2,3,4.657000000000001,4.779,63.16899999999999,56.14399999999999
3,0,50,5,3,44,2,1,3,4.971,4.949000000000001,79.86499999999998,77.45300000000002
2,3,67.5,5,4,35,2,3,3,4.618,4.668000000000001,74.00999999999999,75.11
4,0,67.5,5,0.5,25,1,1,3,4.755000000000001,4.8075,66.28400000000002,59.66399999999999
3,2,92.5,5,2,44,1,1,1,4.466,4.432,83.727,75.17400000000002
4,3,100,4,0,35,2,1,3,4.382,4.3420000000000005,75.344,67.072
5,5,55,3,4.5,51,1,1,3,3.2079999999999997,3.774,54.85099999999999,65.817
4,0,40,5,2,36,2,3,3,4.574000000000001,4.625000000000001,60.06600000000001,58.93
2,2,100,5,3,38,1,1,3,4.711,4.737,77.25800000000001,75.185
4,8,50,1,0,68,2,1,3,2.968,2.813,69.18200000000002,60.834
2,0,77.5,5,2,54,1,1,2,4.812,4.774,80.962,72.379
